name	name_fr	item_type	cpv_code	cpv_label	cpv_label_fr	canonical_unit	sector	sector_name	monitoring_tier	identifier_type	identifier_value	issuer
Fleet vehicle maintenance	Services de réparation et d'entretien de véhicules à moteur et d'équipements connexes	service	50110000	Repair and maintenance services of motor vehicles and associated equipment	Services de réparation et d'entretien de véhicules à moteur et d'équipements connexes	hour	fleet_transport	Fleet and transport	quote_based
Road diesel fuel	Carburant diesel	good	09134200	Diesel fuel	Carburant diesel	l	fleet_transport	Fleet and transport	web_price
Unleaded petrol	Essence	good	09132000	Petrol	Essence	l	fleet_transport	Fleet and transport	web_price
Special-purpose passenger transport	Services spécialisés de transport routier de passagers	service	60130000	Special-purpose road passenger-transport services	Services spécialisés de transport routier de passagers	trip	fleet_transport	Fleet and transport	quote_based
Battery electric municipal car	Véhicules électriques	good	34144900	Electric vehicles	Véhicules électriques	each	fleet_transport	Fleet and transport	web_price
Classroom table and chair set	Mobilier scolaire	good	39160000	School furniture	Mobilier scolaire	set	education_catering	Education and catering	web_price
Digital classroom teaching equipment	Matériel pédagogique	good	39162100	Teaching equipment	Matériel pédagogique	each	education_catering	Education and catering	web_price
Classroom teaching supplies pack	Fournitures scolaires	good	39162110	Teaching supplies	Fournitures scolaires	pack	education_catering	Education and catering	web_price
Educational board game	Jeux	good	37524000	Games	Jeux	each	education_catering	Education and catering	web_price
Primary school textbook	Livres scolaires	good	22111000	School books	Livres scolaires	each	education_catering	Education and catering	web_price
Fresh fruit and vegetable basket	Fruits, légumes et produits connexes	good	15300000	Fruit, vegetables and related products	Fruits, légumes et produits connexes	kg	education_catering	Education and catering	web_price
School dairy products basket	Produits laitiers	good	15500000	Dairy products	Produits laitiers	kg	education_catering	Education and catering	web_price
Institutional meat products basket	Produits de l'élevage, viande et produits à base de viande	good	15100000	Animal products, meat and meat products	Produits de l'élevage, viande et produits à base de viande	kg	education_catering	Education and catering	web_price
Fresh bread and bakery basket	Produits de panification, pâtisserie fraîche et gâteaux	good	15810000	Bread products, fresh pastry goods and cakes	Produits de panification, pâtisserie fraîche et gâteaux	kg	education_catering	Education and catering	web_price
Institutional catering services	Services traiteur	service	55520000	Catering services	Services traiteur	meal	education_catering	Education and catering	quote_based
School meal catering	Service traiteur pour écoles	service	55524000	School catering services	Service traiteur pour écoles	meal	education_catering	Education and catering	quote_based
Commercial kitchen equipment set	Équipement de cuisine, articles de maison, articles ménagers et fournitures de restauration	good	39220000	Kitchen equipment, household and domestic items and catering supplies	Équipement de cuisine, articles de maison, articles ménagers et fournitures de restauration	set	education_catering	Education and catering	web_price
General medical consumables pack	Consommables médicaux	good	33140000	Medical consumables	Consommables médicaux	pack	health_safety_social	Health, safety and social care	web_price
Common pharmaceutical products basket	Produits pharmaceutiques	good	33600000	Pharmaceutical products	Produits pharmaceutiques	pack	health_safety_social	Health, safety and social care	web_price
Workplace first-aid box	Kits de secours	good	33141623	First-aid boxes	Kits de secours	each	health_safety_social	Health, safety and social care	web_price
Community health services	Services de santé	service	85100000	Health services	Services de santé	hour	health_safety_social	Health, safety and social care	tender_benchmark
Community social work services	Services d'action sociale	service	85310000	Social work services	Services d'action sociale	hour	health_safety_social	Health, safety and social care	tender_benchmark
Social support services	Services sociaux	service	85320000	Social services	Services sociaux	hour	health_safety_social	Health, safety and social care	tender_benchmark
Building security guard services	Services de sécurité	service	79710000	Security services	Services de sécurité	hour	health_safety_social	Health, safety and social care	quote_based
Public security support services	Services de sécurité publique	service	75241000	Public security services	Services de sécurité publique	hour	health_safety_social	Health, safety and social care	tender_benchmark
Commercial fire extinguisher	Appareils extincteurs	good	35111300	Fire extinguishers	Appareils extincteurs	each	health_safety_social	Health, safety and social care	web_price
High-visibility protective clothing	Vêtements de protection et de sécurité	good	35113400	Protective and safety clothing	Vêtements de protection et de sécurité	each	health_safety_social	Health, safety and social care	web_price
Industrial safety helmet	Casques	good	18444110	Helmets	Casques	each	health_safety_social	Health, safety and social care	web_price
Reusable medical workwear	Vêtements pour personnel médical	good	33199000	Medical clothing	Vêtements pour personnel médical	each	health_safety_social	Health, safety and social care	web_price
Seasonal live plants tray	Plantes vivantes, bulbes, racines, boutures et greffons	good	03121100	Live plants, bulbs, roots, cuttings and slips	Plantes vivantes, bulbes, racines, boutures et greffons	pack	parks_public_realm	Parks and public realm	web_price
Urban street tree	Arbres	good	03452000	Trees	Arbres	each	parks_public_realm	Parks and public realm	quote_based
Municipal gardening tool set	Matériel de jardinage divers	good	16160000	Miscellaneous gardening equipment	Matériel de jardinage divers	set	parks_public_realm	Parks and public realm	web_price
Commercial lawn mower	Faucheuses	good	16310000	Mowers	Faucheuses	each	parks_public_realm	Parks and public realm	web_price
Public park and playground equipment	Équipement de parcs et de terrains de jeux	good	43325000	Park and playground equipment	Équipement de parcs et de terrains de jeux	each	parks_public_realm	Parks and public realm	quote_based
Green area planting and maintenance	Réalisation et entretien d'espaces verts	service	77310000	Planting and maintenance services of green areas	Réalisation et entretien d'espaces verts	hour	parks_public_realm	Parks and public realm	quote_based
Urban tree maintenance	Services d'élagage	service	77211500	Tree-maintenance services	Services d'élagage	hour	parks_public_realm	Parks and public realm	quote_based
Tree pruning and hedge trimming	Élagage des arbres et taille des haies	service	77340000	Tree pruning and hedge trimming	Élagage des arbres et taille des haies	hour	parks_public_realm	Parks and public realm	quote_based
